;PC;F-HSIC;F-LSMI;L_1-HSIC;L_1-LSMI;mRMR;QPFS;Lasso;Relief
abalone;0.73 (.04, 50);0.74 (.04, 50);0.70 (.05, 50);0.73 (.04, 50);0.70 (.05, 50);0.73 (.05, 50);0.75 (.04, 50);0.70 (.04, 50);*0.69 (.04, 50)
breastcancer;0.24 (.00, 50);0.24 (.00, 50);0.23 (.01, 50);*0.23 (.00, 50);*0.23 (.01, 50);0.25 (.00, 50);0.23 (.00, 50);0.24 (.00, 50);0.26 (.00, 50)
cpuact;0.25 (.03, 50);0.33 (.12, 50);0.28 (.07, 50);0.54 (.31, 50);*0.25 (.16, 50);*0.23 (.06, 50);0.27 (.04, 50);0.26 (.04, 50);0.37 (.09, 50)
ctslices;0.79 (.07, 34);--;--;0.64 (.05, 50);0.60 (.07, 50);0.45 (.04, 50);0.46 (.02, 50);*0.41 (.03, 50);0.56 (.05, 50)
german;*0.25 (.02, 50);0.29 (.01, 50);0.29 (.02, 50);0.25 (.02, 50);*0.25 (.02, 50);0.25 (.02, 50);0.25 (.02, 50);0.25 (.02, 50);0.26 (.02, 50)
glass;0.29 (.00, 50);*0.28 (.00, 50);0.30 (.01, 50);0.30 (.01, 50);0.30 (.01, 50);0.30 (.00, 50);0.29 (.00, 50);--;0.31 (.00, 50)
housing;4.03 (.19, 50);4.14 (.20, 50);4.20 (.21, 50);3.95 (.20, 50);*3.91 (.19, 50);3.97 (.20, 50);4.11 (.23, 50);4.14 (.27, 50);4.10 (.21, 50)
image;0.10 (.01, 50);0.19 (.03, 50);0.17 (.03, 50);0.13 (.03, 50);0.06 (.02, 50);0.14 (.02, 50);0.11 (.02, 50);0.11 (.02, 50);*0.05 (.01, 50)
ionosphere;0.07 (.00, 50);*0.07 (.00, 50);0.08 (.01, 50);0.07 (.00, 50);0.07 (.00, 50);0.09 (.00, 50);0.07 (.00, 50);0.07 (.00, 50);0.07 (.00, 50)
isolet;0.54 (.03, 50);0.66 (.04, 12);0.58 (.04, 10);0.36 (.04, 50);*0.27 (.03, 50);0.30 (.03, 50);0.30 (.03, 50);--;0.49 (.03, 50)
msd;0.95 (.06, 50);0.94 (.06, 50);*0.92 (.06, 50);0.94 (.06, 50);0.93 (.06, 50);0.97 (.06, 50);0.94 (.06, 50);*0.92 (.06, 50);0.96 (.06, 50)
musk1;0.19 (.02, 50);0.17 (.02, 50);0.14 (.02, 50);0.16 (.02, 50);0.16 (.02, 50);0.15 (.02, 50);0.18 (.02, 50);*0.13 (.01, 50);0.19 (.03, 50)
musk2;0.09 (.01, 50);0.08 (.01, 50);*0.07 (.01, 50);0.09 (.01, 50);0.08 (.01, 50);0.09 (.01, 50);0.09 (.02, 50);0.07 (.01, 50);0.09 (.01, 50)
satimage;0.22 (.02, 50);0.14 (.01, 50);*0.13 (.02, 50);0.14 (.02, 50);*0.13 (.02, 50);0.14 (.01, 50);0.14 (.02, 50);--;0.16 (.02, 50)
segment;0.19 (.03, 50);0.24 (.03, 50);0.17 (.02, 50);0.11 (.03, 50);*0.05 (.01, 50);*0.05 (.01, 50);0.08 (.03, 50);--;0.13 (.02, 50)
senseval2;*0.18 (.01, 50);0.18 (.01, 50);0.18 (.02, 50);0.19 (.02, 50);*0.18 (.01, 50);0.18 (.01, 50);*0.18 (.01, 50);--;0.21 (.01, 50)
sonar;0.23 (.00, 50);0.22 (.00, 50);*0.14 (.02, 50);0.21 (.02, 50);0.16 (.02, 50);0.18 (.00, 50);0.19 (.00, 50);0.16 (.00, 50);0.19 (.00, 50)
spectf;0.19 (.00, 50);0.17 (.00, 50);*0.17 (.01, 50);0.19 (.01, 50);*0.17 (.01, 50);0.18 (.00, 50);0.18 (.00, 50);0.18 (.00, 50);0.18 (.00, 50)
speech;0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);0.01 (.00, 50);0.02 (.00, 50);0.01 (.00, 50);*0.01 (.00, 50);0.03 (.00, 50)
vehicle;0.32 (.02, 50);0.33 (.03, 50);*0.28 (.02, 50);0.34 (.03, 50);*0.27 (.02, 50);0.39 (.05, 50);0.39 (.05, 50);--;0.32 (.04, 50)
vowel;*0.20 (.02, 50);0.23 (.03, 50);0.24 (.03, 50);0.20 (.02, 50);0.21 (.02, 50);*0.20 (.02, 50);0.20 (.02, 50);--;0.21 (.02, 50)
wine;0.03 (.00, 50);0.03 (.00, 50);*0.03 (.01, 50);0.03 (.01, 50);*0.03 (.01, 50);0.03 (.00, 50);0.03 (.00, 50);--;0.03 (.00, 50)
Wins;74;66;93;81;137;91;92;74;66
Tops;3;2;7;1;11;3;1;4;2
svc_svr_err;;;;;;;;;
